regulation_name,country,announced_date,enforcement_date,category,api_category,reference_point,purpose,keywords,official_link,status1,status2
"Simplify, Don‚Äôt Amplify the IRS Act",United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/1101?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=3&r=33,Not in force,Read twice and referred to the Committee on Armed Services.
"A bill to specify control and management of Department of Defense data and to establish the Chief Digital and¬†Artificial¬†Intelligence¬†Officer Governing Council, and for other purposes.",United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/3004/text?s=2&r=3&q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D,Not in force,Read twice and referred to the Committee on Armed Services.
AI ACCORD Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/5058/text,Not in force,Read twice and referred to the Committee on Armed Services.
Transparent Automated Governance Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/1865?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=3&r=42,Not in force,Placed on Senate Legislative Calendar under General Orders. Calendar No. 192.
"To establish a Joint Autonomy Office in the Department of Defense, and for other purposes.",United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/3168?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=3&r=46,Not in force,Referred to the House Committee on Armed Services.
"Novel, Advanced Spectrum and Communications Technology Networks Promotion Act",United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/4504?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=3&r=47,Not in force,Referred to the House Committee on Energy and Commerce.
Oversee Emerging Technology Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/1577?q=%7B%22search%22%3A%22Artificial+Intelligence%22%7D&s=3&r=49,Not in force,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.
Sensible Classification Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/5977/text?s=6&r=7&q=%7B%22search%22%3A%22artificial+intelligence%22%7D,Not in force,"Referred to the Subcommittee on Energy, Climate and Grid Security."
Department of Energy AI Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/4664/text,Not in force,Placed on Senate Legislative Calendar under General Orders. Calendar No. 631.
Weather Act Reauthorization Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/6093/text?s=6&r=5&q=%7B%22search%22%3A%22artificial+intelligence%22%7D,Not in force,"Received in the Senate and Read twice and referred to the Committee on Commerce, Science, and Transportation."
Artificial Intelligence Acquisitions Act of 2024,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/4976/text,Not in force,"Read twice and referred to the Committee on Commerce, Science, and Transportation."
Integrating New Technologies to Empower Law Enforcement at Our Borders Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/6391/text?s=7&r=1&q=%7B%22search%22%3A%22Integrating+New+Technologies+to+Empower+Law+Enforcement+at+Our+Borders+Act%22%7D,Not in force,Referred to the House Committee on Homeland Security.
Safe Landings Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/6850/text,Not in force,Referred to the Subcommittee on Aviation.
Elimiating Bias in Algorithmic Systems Act of 2023,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/senate-bill/3478/text,Not in force,Read twice and referred to the Committee on Homeland Security and Governmental Affairs.
AIxBio Defense Sandbox Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/9626/text,Not in force,Referred to the House Committee on Armed Services.
Fostering the Use of Technology to Uphold Regulatory Effectivness in Supervision Act,United States,0,0,Law,acts_bills_reform,,,,https://www.congress.gov/bill/118th-congress/house-bill/7437/text,Not in force,"Placed on the Union Calendar, Calendar No. 615."
